"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2021-22","601","Appling County","ALL","All Column Values","General Administration",164673.96,138900.86,303574.82,0.65,0.55,0.7,0.61
"2021-22","601","Appling County","ALL","All Column Values","School Administration",1084180.61,472638.59,1556819.2,3.31,2.8,3.59,3.13
"2021-22","601","Appling County","ALL","All Column Values","Teachers and Paraprofessionals",14990355.73,6807292.19,21797647.92,46.34,39.25,50.29,43.85
"2021-22","602","Atkinson County","ALL","All Column Values","General Administration",148411.61,134257.4,282669.01,1.29,1.14,1.31,1.16
"2021-22","602","Atkinson County","ALL","All Column Values","School Administration",659985.4,345324.43,1005309.83,4.59,4.07,4.66,4.12
"2021-22","602","Atkinson County","ALL","All Column Values","Teachers and Paraprofessionals",6614225.02,3616344.86,10230569.88,46.73,41.38,47.42,41.92
"2021-22","603","Bacon County","ALL","All Column Values","General Administration",401351.2,173909.11,575260.31,2.01,1.74,2.11,1.9
"2021-22","603","Bacon County","ALL","All Column Values","School Administration",819601.35,368077.88,1187679.23,4.15,3.59,4.36,3.93
"2021-22","603","Bacon County","ALL","All Column Values","Teachers and Paraprofessionals",9314280.17,4017995.94,13332276.11,46.62,40.3,48.9,44.13
"2021-22","604","Baker County","ALL","All Column Values","General Administration",190175.01,128333.75,318508.76,4.54,4.17,5.83,5.53
"2021-22","604","Baker County","ALL","All Column Values","School Administration",89396.04,65849.18,155245.22,2.21,2.03,2.84,2.69
"2021-22","604","Baker County","ALL","All Column Values","Teachers and Paraprofessionals",1158345.47,689372.84,1847718.31,26.32,24.17,33.83,32.06
"2021-22","605","Baldwin County","ALL","All Column Values","General Administration",761015.09,552207.47,1313222.56,2.09,1.68,2.25,1.67
"2021-22","605","Baldwin County","ALL","All Column Values","School Administration",1732342.94,946674.22,2679017.16,4.25,3.42,4.59,3.41
"2021-22","605","Baldwin County","ALL","All Column Values","Teachers and Paraprofessionals",19165621.69,9934477.08,29100098.77,46.22,37.14,49.81,37.06
"2021-22","606","Banks County","ALL","All Column Values","General Administration",333791.56,175036.23,508827.79,1.45,1.23,1.46,1.24
"2021-22","606","Banks County","ALL","All Column Values","School Administration",811009.2,514475.68,1325484.88,3.78,3.21,3.81,3.22
"2021-22","606","Banks County","ALL","All Column Values","Teachers and Paraprofessionals",13034580.95,6419184.29,19453765.24,55.53,47.05,55.88,47.28
"2021-22","607","Barrow County","ALL","All Column Values","General Administration",1035024.66,997105.36,2032130.02,1.1,0.93,1.26,0.98
"2021-22","607","Barrow County","ALL","All Column Values","School Administration",4193012.25,2614592.11,6807604.36,3.7,3.11,4.2,3.27
"2021-22","607","Barrow County","ALL","All Column Values","Teachers and Paraprofessionals",58222430.55,29031929.93,87254360.48,47.38,39.83,53.89,41.89
"2021-22","608","Bartow County","ALL","All Column Values","General Administration",644488,386196.92,1030684.92,0.59,0.4,0.65,0.56
"2021-22","608","Bartow County","ALL","All Column Values","School Administration",4807471.6,3127634.19,7935105.79,4.57,3.06,4.98,4.34
"2021-22","608","Bartow County","ALL","All Column Values","Teachers and Paraprofessionals",55650010.9,28784076.25,84434087.15,48.63,32.6,52.97,46.18
"2021-22","609","Ben Hill County","ALL","All Column Values","General Administration",754849.5,495102.28,1249951.78,2.84,2.47,3.01,1.85
"2021-22","609","Ben Hill County","ALL","All Column Values","School Administration",1030146.12,620879.4,1651025.52,3.75,3.26,3.98,2.44
"2021-22","609","Ben Hill County","ALL","All Column Values","Teachers and Paraprofessionals",13538425.26,6252190.4,19790615.66,44.96,39.06,47.73,29.22
"2021-22","610","Berrien County","ALL","All Column Values","General Administration",426727.44,213484.44,640211.88,1.6,1.24,1.83,1.57
"2021-22","610","Berrien County","ALL","All Column Values","School Administration",858201.83,461962.97,1320164.8,3.29,2.57,3.78,3.24
"2021-22","610","Berrien County","ALL","All Column Values","Teachers and Paraprofessionals",11769408.25,5525606.76,17295015.01,43.09,33.62,49.51,42.48
"2021-22","611","Bibb County","ALL","All Column Values","General Administration",1373004.14,1162063.26,2535067.4,0.83,0.69,0.87,0.76
